i,j,MAPD-test,MSE-test,RMSE-test,R2-test,Slope-test,Loss,MAPD-ind,MSE-ind,RMSE-ind,R2-ind,Slope-ind
65,94,33.10627084011622,0.12287767318772992,0.35053911791372144,0.665030219004477,0.6705217823978044,0.10025314627729368,32.59022765652595,0.042917547802471236,0.2071655082354957,0.6920773488398713,0.7712831427029052
74,73,33.54240261094527,0.13101548003747746,0.3619606056430416,0.6428462102457889,0.6847970035537405,0.10012379584526716,34.393523248458,0.041596691935695936,0.2039526708226591,0.7015541587025829,0.7810779473214848
76,84,32.84148367206573,0.12428039251631623,0.3525342430407523,0.661206346252778,0.6873538931737562,0.09915883822343582,32.40861083612424,0.04271415274359363,0.20667402532392315,0.6935366574203782,0.7603716289368744
81,83,33.09287178063188,0.13041766368336885,0.36113385840068896,0.6444758831392963,0.6709405638631021,0.0988550932425998,32.55161170677421,0.03880072102516744,0.19697898625276614,0.7216145493684019,0.7351983352747111
86,59,33.102424692278596,0.12653572882898054,0.3557186090563446,0.6550582032164899,0.6757570427400243,0.1023023434204587,32.270114620354306,0.043661993708362906,0.20895452545557108,0.6867361360091077,0.727193437982004
87,84,33.07251136062451,0.12942027974594306,0.35975030194003044,0.6471947943167367,0.6758425639805848,0.09773916442598236,33.03773627820294,0.044101834922578166,0.2100043688178372,0.6835803855129701,0.7561288506294603
92,45,33.412890716777746,0.1290119077076206,0.35918227643860795,0.6483080339207498,0.6928829477709031,0.10155774059986918,33.585975858946696,0.04055585275111757,0.2013848374409493,0.7090219190373954,0.7665633291402563
96,99,33.385629012398965,0.12974533929153995,0.36020180356508485,0.6463086681233088,0.6593377156515755,0.0959713554762879,33.07406735762347,0.041526667826804524,0.2037809309695206,0.7020565641371667,0.777901603169635
98,46,32.98846730735877,0.12810234303396414,0.3579138765596609,0.6507875460374097,0.6766831988166294,0.1012779787285869,33.303875554218806,0.04445978007036282,0.21085487917134574,0.681012218771873,0.7984806516463929
99,72,32.48443445369975,0.1308404842208935,0.3617187916336301,0.6433232563098588,0.6820239305227568,0.09925801767093416,32.47036922408899,0.04156648507377796,0.2038786037665011,0.7017708853675784,0.7356865130487763
