i,j,MAPD-test,MSE-test,RMSE-test,R2-test,Slope-test,Loss,MAPD-ind,MSE-ind,RMSE-ind,R2-ind,Slope-ind
69,63,19.23934074823421,0.0011627061270994,0.0340984769029272,0.885015406743401,0.9200111030211487,0.0117708821256517,18.70997661000453,0.0011093969277099,0.0333076106574749,0.885764812029367,0.9431914324124684
83,49,18.909066116886805,0.0011557159789986,0.0339958229639861,0.8863479570302275,0.91436099618668,0.0116509309983137,18.648944989770605,0.0011442717335483,0.0338270857974551,0.8850835909769726,0.9421927166368396
90,35,19.12514280358113,0.0011603592325072,0.0340640460384155,0.8849188637967638,0.917434082677978,0.0115529066889528,19.71538366721266,0.0011577204779595,0.0340252917395218,0.8829299085203529,0.942786252033574
90,45,19.05995744569802,0.0011705297202251,0.034213005132919,0.8839340308620737,0.9150220979903844,0.011823614967374,19.07871220783031,0.0011992213948952,0.0346297761311747,0.8810198302479211,0.942835129145818
91,26,19.51239822935294,0.0011975782261517,0.0346060432027659,0.8826585097633772,0.9102480700216944,0.0115959397245271,19.055874191943538,0.0011862911070644,0.0344425769515648,0.8817749144624822,0.9457736976692306
99,40,19.109664958284306,0.0011666259208125,0.0341559060897607,0.8854479928253849,0.9136997501853372,0.0116460810381688,19.62932877841965,0.001185662421059,0.0344334491600691,0.8821895638815835,0.9411392890790607
101,50,18.79904147817429,0.0011759898364054,0.034292708210426,0.8865806181850887,0.9139369067434604,0.0116335523466134,18.59534068492217,0.0011210499752887,0.033482084392833,0.8872342190170344,0.9519726432829676
103,26,19.072803938075676,0.0011616941022213,0.0340836339350921,0.8864113097909834,0.915583536990174,0.011346615335478,19.092523027500768,0.0011150521731451,0.033392396936206,0.8849684611045183,0.9480040997454642
104,62,19.02196238635529,0.0011493876644741,0.0339026203187034,0.8871980853672877,0.9158817761240612,0.0118955208308319,19.574416613467545,0.0011767565880001,0.0343038859023312,0.8815011170959652,0.9499735839900916
108,27,18.814851711264527,0.0011360365572166,0.03370514140627,0.887085540496063,0.9115875658760796,0.011487525181078,19.485809727590432,0.0011401667375775,0.0337663551124122,0.8855396347815189,0.9447872978869044
